date,store_id,region,product_category,marketing_spend,price_index,unemployment_rate,promotions,sales
2023-01-12,1,North,Apparel,169.51,102.41,12.65,0,347.82
2023-01-12,2,North,Sports,225.21,102.22,11.61,0,387.55
2023-01-12,3,North,Apparel,228.07,101.03,12.6,0,397.19
2023-01-12,4,West,Electronics,235.07,103.97,11.7,0,472.7
2023-01-12,5,South,Sports,64.72,100.58,11.9,0,243.46
2023-01-12,6,North,Sports,147.15,100.39,12.4,0,296.01
2023-01-12,7,North,Home,119.96,106.45,12.03,0,312.6
2023-01-12,8,East,Grocery,150.25,102.68,11.49,0,375.1
2023-01-12,9,South,Grocery,202.5,105.16,11.53,0,361.9
2023-01-12,10,South,Grocery,282.14,103.96,11.47,0,472.99
2023-01-12,11,West,Apparel,198.34,103.43,12.32,0,363.19
2023-01-12,12,East,Home,272.61,104.12,11.86,0,440.11
2023-01-13,1,East,Electronics,256.07,102.81,12.25,0,454.29
2023-01-13,2,North,Home,110.35,104.08,12.34,0,299.15
2023-01-13,3,North,Electronics,324.72,101.73,11.58,0,534.36
2023-01-13,4,South,Sports,231.11,101.78,11.92,0,374.12
2023-01-13,5,East,Apparel,404.66,102.79,12.26,0,515.64
2023-01-13,6,East,Electronics,215.24,104.1,12.37,0,395.92
2023-01-13,7,South,Grocery,566.18,101.96,11.5,0,615.23
2023-01-13,8,East,Apparel,164.22,102.08,11.7,0,284.57
2023-01-13,9,West,Sports,202.54,102.85,11.68,1,450.59
2023-01-13,10,East,Sports,331.48,102.18,12.69,0,438.94
2023-01-13,11,North,Sports,224.7,103.24,11.53,0,386.14
2023-01-13,12,East,Electronics,146.15,101.67,11.85,1,420.72
2023-01-14,1,South,Grocery,435.78,101.64,12.1,0,552.36
2023-01-14,2,North,Electronics,249.23,100.23,11.75,1,530.75
2023-01-14,3,South,Grocery,160.11,101.92,12.16,0,375.33
2023-01-14,4,East,Sports,204.46,101.3,12.27,0,330.47
2023-01-14,5,South,Grocery,169.18,102.84,10.96,0,324.81
2023-01-14,6,South,Grocery,171.93,104.07,11.51,1,419.41
2023-01-14,7,West,Grocery,301.23,104.16,12.12,0,509.61
2023-01-14,8,North,Electronics,374.36,104.25,11.81,1,637.03
2023-01-14,9,West,Grocery,205.55,102.72,11.79,0,428.04
2023-01-14,10,North,Electronics,227.97,104.42,12.25,1,460.12
2023-01-14,11,East,Apparel,99.87,103.62,12.45,0,269.27
2023-01-14,12,East,Apparel,255.12,104.87,12.36,1,389.54
2023-01-15,1,West,Sports,176.19,102.79,11.89,0,361.1
2023-01-15,2,West,Sports,395.92,100.22,12.11,0,517.65
2023-01-15,3,North,Electronics,462.78,102.4,11.49,1,683.84
2023-01-15,4,North,Apparel,93.96,99.2,12.19,0,301.42
2023-01-15,5,North,Grocery,254.41,101.65,11.93,1,467.69
2023-01-15,6,South,Home,518.25,100.89,12.27,0,604.61
2023-01-15,7,South,Electronics,107.45,104.67,12.15,0,317.9
2023-01-15,8,East,Grocery,267.23,103.19,12.14,0,457.71
2023-01-15,9,North,Grocery,248.43,103.56,11.69,0,434.65
2023-01-15,10,South,Apparel,154.23,105.2,11.78,0,296.63
2023-01-15,11,North,Grocery,338.31,101.52,11.92,0,508.63
2023-01-15,12,West,Sports,175.6,98.86,12.31,1,379.44
2023-01-16,1,South,Apparel,118.64,102.43,12.72,0,269.33
2023-01-16,2,South,Apparel,183.35,102.54,11.74,0,324.1
2023-01-16,3,West,Electronics,116.08,102.08,12.3,0,384.29
2023-01-16,4,South,Grocery,396.67,103.89,12.54,0,541.79
2023-01-16,5,West,Apparel,318.48,103.45,12.03,0,486.56
2023-01-16,6,East,Apparel,520.25,101.47,11.89,0,608.65
2023-01-16,7,North,Home,143.74,101.77,11.69,0,316.66
2023-01-16,8,North,Home,203.64,105.71,11.72,1,454.51
2023-01-16,9,South,Apparel,210.37,102.68,11.85,0,350.67
2023-01-16,10,West,Grocery,179.75,100.0,12.28,0,421.51
2023-01-16,11,East,Apparel,100.39,100.3,11.53,0,328.07
2023-01-16,12,South,Electronics,345.62,102.44,11.51,0,495.29
2023-01-17,1,South,Home,409.67,104.57,12.12,0,501.58
2023-01-17,2,East,Grocery,152.47,101.49,12.1,0,341.43
2023-01-17,3,North,Grocery,270.52,101.94,11.33,0,463.78
2023-01-17,4,East,Sports,169.62,100.82,12.24,0,295.58
2023-01-17,5,West,Sports,159.86,103.02,11.53,0,335.95
2023-01-17,6,East,Electronics,214.64,100.58,11.92,0,458.75
2023-01-17,7,North,Grocery,413.81,103.78,12.25,0,605.36
2023-01-17,8,South,Sports,250.18,103.15,11.91,0,397.45
2023-01-17,9,East,Electronics,198.63,102.44,11.96,1,438.94
2023-01-17,10,North,Sports,214.84,99.5,12.04,0,393.92
2023-01-17,11,West,Grocery,333.5,98.16,11.74,0,533.19
2023-01-17,12,East,Home,350.12,100.94,12.08,0,468.37
2023-01-18,1,North,Home,186.39,102.83,11.99,0,426.57
2023-01-18,2,South,Grocery,228.68,104.08,12.06,0,411.64
2023-01-18,3,North,Home,282.98,100.79,11.77,0,454.56
2023-01-18,4,North,Sports,199.42,102.99,12.1,0,408.69
2023-01-18,5,South,Grocery,181.05,103.95,12.31,0,376.94
2023-01-18,6,West,Electronics,175.83,104.56,12.04,0,382.18
2023-01-18,7,East,Sports,109.27,100.34,11.73,0,332.76
2023-01-18,8,East,Electronics,144.8,100.52,12.05,0,345.33
2023-01-18,9,East,Sports,140.65,105.88,12.02,0,340.27
2023-01-18,10,East,Home,89.86,100.03,12.7,0,301.86
2023-01-18,11,East,Home,277.17,103.78,11.92,0,439.72
2023-01-18,12,East,Sports,135.23,102.08,11.74,0,276.02
2023-01-19,1,South,Apparel,226.24,104.59,12.45,0,379.16
2023-01-19,2,West,Home,117.49,102.16,11.71,0,339.77
2023-01-19,3,South,Sports,148.02,102.98,12.42,0,302.43
2023-01-19,4,East,Home,220.03,101.86,12.36,0,395.23
2023-01-19,5,North,Grocery,139.5,101.51,12.34,0,343.05
2023-01-19,6,East,Apparel,99.19,101.46,12.24,0,249.73
2023-01-19,7,West,Sports,141.88,102.92,12.67,0,292.24
2023-01-19,8,East,Home,282.32,103.12,12.37,0,481.22
2023-01-19,9,West,Home,151.84,100.45,12.09,0,351.53
2023-01-19,10,South,Sports,131.23,104.96,12.29,1,370.26
2023-01-19,11,West,Apparel,273.81,104.94,11.67,0,401.72
2023-01-19,12,North,Grocery,209.94,101.35,11.81,0,430.29
2023-01-20,1,East,Electronics,243.98,103.75,11.65,0,407.79
2023-01-20,2,South,Grocery,443.95,103.13,12.03,1,606.67
2023-01-20,3,South,Apparel,269.89,101.12,11.73,0,397.47
2023-01-20,4,South,Electronics,136.74,104.35,11.84,0,303.44
2023-01-20,5,North,Apparel,366.45,102.71,11.78,0,496.61
2023-01-20,6,West,Sports,220.97,102.27,11.68,0,368.27
2023-01-20,7,North,Home,64.95,103.26,12.65,0,235.2
2023-01-20,8,West,Sports,205.6,103.76,11.88,1,450.02
2023-01-20,9,South,Home,215.19,102.35,12.17,0,387.66
2023-01-20,10,West,Home,187.97,101.37,11.69,1,478.0
2023-01-20,11,South,Apparel,346.71,103.21,12.74,0,444.49
2023-01-20,12,North,Electronics,207.37,100.53,11.89,0,400.6
2023-01-21,1,West,Apparel,231.29,103.29,11.46,0,372.21
2023-01-21,2,South,Sports,131.45,102.28,12.16,0,254.72
2023-01-21,3,West,Electronics,200.47,104.74,11.83,0,422.48
2023-01-21,4,South,Electronics,160.05,102.05,12.0,1,404.65
2023-01-21,5,West,Apparel,279.83,104.29,12.15,0,497.4
2023-01-21,6,West,Sports,99.39,102.16,12.36,0,287.9
2023-01-21,7,East,Home,163.53,98.61,12.26,0,318.31
2023-01-21,8,West,Sports,91.95,102.78,11.7,0,290.89
2023-01-21,9,West,Apparel,396.18,102.26,11.64,0,522.9
2023-01-21,10,West,Home,204.9,105.07,11.74,0,323.59
2023-01-21,11,East,Apparel,154.9,104.06,11.52,0,298.64
2023-01-21,12,East,Sports,584.52,101.59,12.08,0,690.3
2023-01-22,1,West,Apparel,228.36,101.37,12.03,0,442.2
2023-01-22,2,East,Home,184.4,102.78,11.76,0,395.67
2023-01-22,3,North,Grocery,396.84,101.51,11.86,0,547.17
2023-01-22,4,South,Grocery,394.33,103.58,12.18,0,572.29
2023-01-22,5,East,Grocery,188.82,102.12,12.19,0,418.05
2023-01-22,6,North,Apparel,157.25,103.89,12.44,0,375.58
2023-01-22,7,South,Apparel,293.82,104.11,12.17,0,405.72
2023-01-22,8,West,Apparel,122.98,99.55,12.17,0,311.93
2023-01-22,9,South,Electronics,199.62,102.08,11.6,0,426.59
2023-01-22,10,West,Home,205.55,102.92,12.36,0,389.62
2023-01-22,11,East,Sports,311.65,104.26,12.1,1,497.36
2023-01-22,12,West,Home,274.8,101.52,12.01,0,406.05
2023-01-23,1,North,Apparel,241.33,105.05,11.43,0,392.05
2023-01-23,2,West,Home,298.5,103.07,11.81,0,483.65
2023-01-23,3,North,Sports,184.55,101.22,12.08,0,315.58
2023-01-23,4,West,Home,102.4,103.17,12.08,0,355.65
2023-01-23,5,North,Grocery,132.73,103.47,11.57,0,315.15
2023-01-23,6,East,Home,294.25,101.94,11.75,0,382.91
2023-01-23,7,West,Sports,231.41,103.9,12.5,0,379.92
2023-01-23,8,South,Home,81.7,104.39,12.05,0,237.69
2023-01-23,9,South,Grocery,151.25,102.78,12.56,0,395.74
2023-01-23,10,West,Home,337.38,103.39,12.0,0,539.3
2023-01-23,11,North,Home,188.46,101.82,12.28,0,391.55
2023-01-23,12,East,Home,106.1,102.21,11.75,0,290.95
2023-01-24,1,South,Home,281.93,100.96,12.56,0,415.0
2023-01-24,2,South,Sports,235.74,101.94,12.33,0,340.38
2023-01-24,3,North,Home,246.13,102.71,11.47,0,449.06
2023-01-24,4,North,Electronics,185.96,103.27,11.84,0,380.19
2023-01-24,5,West,Apparel,200.74,102.46,12.53,0,394.86
2023-01-24,6,West,Apparel,301.93,101.0,12.09,0,461.15
2023-01-24,7,North,Grocery,219.62,102.35,11.94,0,429.45
2023-01-24,8,West,Grocery,183.34,103.87,11.76,0,384.68
2023-01-24,9,South,Home,204.74,98.86,12.27,0,373.21
2023-01-24,10,East,Grocery,215.8,100.16,11.84,0,372.66
2023-01-24,11,West,Grocery,273.56,103.2,11.99,0,448.62
2023-01-24,12,West,Grocery,174.12,101.4,11.76,0,425.59
2023-01-25,1,North,Home,646.64,103.14,12.21,0,749.05
2023-01-25,2,North,Sports,469.36,100.89,11.12,0,574.45
2023-01-25,3,North,Grocery,507.34,103.43,12.62,0,689.7
2023-01-25,4,South,Electronics,212.45,101.53,11.76,0,446.17
2023-01-25,5,North,Electronics,134.07,102.98,11.92,0,361.92
2023-01-25,6,South,Apparel,266.38,103.82,11.98,0,362.58
2023-01-25,7,North,Sports,205.67,101.86,12.34,0,319.66
2023-01-25,8,South,Apparel,228.63,105.31,12.32,0,382.89
2023-01-25,9,South,Home,186.27,103.23,11.75,0,373.67
2023-01-25,10,North,Sports,163.52,102.0,11.88,0,350.3
2023-01-25,11,South,Home,299.54,105.59,11.68,0,443.21
2023-01-25,12,East,Grocery,233.34,102.38,12.14,1,511.26
2023-01-26,1,South,Sports,402.19,102.22,12.3,0,512.79
2023-01-26,2,North,Apparel,178.82,103.37,12.1,0,317.34
2023-01-26,3,East,Electronics,277.39,102.75,12.4,0,465.67
2023-01-26,4,North,Grocery,59.2,99.32,11.82,0,279.19
2023-01-26,5,West,Home,332.71,103.76,12.16,0,480.27
2023-01-26,6,South,Electronics,165.1,104.92,11.9,0,325.51
2023-01-26,7,South,Electronics,371.33,103.11,11.99,0,548.56
2023-01-26,8,East,Sports,132.32,101.8,12.06,0,294.61
2023-01-26,9,North,Sports,268.03,103.81,11.6,0,366.27
2023-01-26,10,North,Grocery,220.1,103.27,12.05,0,441.1
2023-01-26,11,West,Grocery,286.82,103.11,11.93,0,455.78
2023-01-26,12,North,Sports,222.85,104.16,11.96,0,395.04
2023-01-27,1,East,Electronics,199.49,101.7,11.97,0,407.75
2023-01-27,2,West,Home,255.09,103.27,11.92,0,463.01
2023-01-27,3,North,Home,154.56,103.05,12.55,0,288.05
2023-01-27,4,East,Home,175.96,100.92,11.68,0,366.74
2023-01-27,5,South,Home,319.05,102.34,11.95,0,458.7
2023-01-27,6,South,Sports,159.92,102.61,12.35,0,328.46
2023-01-27,7,East,Sports,358.67,103.96,12.15,0,505.94
2023-01-27,8,West,Home,652.27,101.52,11.45,0,782.68
2023-01-27,9,West,Sports,232.03,104.92,12.39,0,373.8
2023-01-27,10,East,Grocery,302.59,102.13,11.75,0,488.21
2023-01-27,11,South,Electronics,222.08,102.57,12.51,0,415.11
2023-01-27,12,East,Home,187.02,101.58,11.99,0,355.21
2023-01-28,1,South,Home,58.88,100.24,12.23,0,243.68
2023-01-28,2,West,Grocery,225.39,102.04,11.77,0,452.21
2023-01-28,3,North,Home,721.26,102.26,12.2,0,772.95
2023-01-28,4,East,Apparel,257.59,104.11,12.01,0,383.31
2023-01-28,5,West,Apparel,156.38,99.8,11.52,1,413.76
2023-01-28,6,East,Grocery,456.31,101.78,12.04,0,603.22
2023-01-28,7,East,Grocery,159.92,102.1,11.73,0,335.26
2023-01-28,8,East,Sports,190.48,102.3,12.02,0,369.08
2023-01-28,9,North,Sports,205.42,100.86,12.42,0,382.66
2023-01-28,10,South,Electronics,325.87,101.58,12.11,1,565.86
2023-01-28,11,South,Home,148.07,102.45,11.94,0,400.13
2023-01-28,12,West,Sports,172.3,102.74,11.69,0,385.25
2023-01-29,1,South,Home,411.93,101.53,12.53,0,502.95
2023-01-29,2,West,Home,119.11,104.59,11.92,0,272.94
2023-01-29,3,North,Electronics,152.7,104.46,11.5,0,359.73
2023-01-29,4,East,Apparel,447.1,100.84,11.94,1,569.32
2023-01-29,5,West,Apparel,177.82,104.47,12.42,0,345.84
2023-01-29,6,East,Sports,150.84,103.95,12.48,0,377.27
2023-01-29,7,East,Home,174.63,101.79,12.0,0,349.58
2023-01-29,8,East,Home,276.08,102.37,11.89,0,379.37
2023-01-29,9,East,Grocery,185.47,103.55,11.9,0,335.28
2023-01-29,10,West,Grocery,91.48,100.71,12.04,0,379.12
2023-01-29,11,East,Grocery,255.26,99.8,11.84,0,402.53
2023-01-29,12,South,Electronics,137.64,99.53,12.22,0,349.41
2023-01-30,1,South,Grocery,108.43,98.7,11.91,1,377.25
2023-01-30,2,North,Sports,319.09,100.66,12.15,0,467.93
2023-01-30,3,South,Apparel,150.95,102.88,12.14,0,291.08
2023-01-30,4,South,Home,237.92,103.43,11.89,1,439.08
2023-01-30,5,East,Sports,103.98,104.19,11.98,0,240.48
2023-01-30,6,East,Electronics,128.14,101.61,12.41,0,439.95
2023-01-30,7,South,Grocery,178.54,102.42,12.09,0,377.71
2023-01-30,8,South,Grocery,412.29,102.2,11.95,0,587.58
2023-01-30,9,South,Grocery,185.0,103.39,11.12,0,429.63
2023-01-30,10,North,Sports,181.32,101.34,12.12,0,392.47
2023-01-30,11,South,Grocery,154.13,103.93,12.15,0,359.89
2023-01-30,12,North,Electronics,293.34,103.7,12.23,0,519.61
2023-01-31,1,East,Apparel,258.57,102.46,11.74,0,349.76
2023-01-31,2,West,Electronics,75.65,101.31,11.91,0,344.64
2023-01-31,3,North,Sports,278.99,102.5,11.75,0,430.86
2023-01-31,4,East,Home,215.27,100.09,11.77,0,413.89
2023-01-31,5,West,Home,145.57,103.74,11.94,0,304.1
2023-01-31,6,East,Apparel,192.3,102.59,12.08,0,319.76
2023-01-31,7,North,Grocery,244.48,97.97,12.06,0,426.3
2023-01-31,8,West,Electronics,227.3,103.71,11.71,0,470.49
2023-01-31,9,North,Home,391.75,103.09,11.85,0,482.15
2023-01-31,10,West,Electronics,203.24,101.71,12.05,0,426.52
2023-01-31,11,North,Apparel,207.91,102.01,12.05,0,342.33
2023-01-31,12,South,Sports,352.79,100.48,11.75,0,507.27
2023-02-01,1,East,Electronics,154.31,105.61,11.71,0,376.22
2023-02-01,2,South,Electronics,542.62,106.46,12.03,0,690.45
2023-02-01,3,West,Sports,140.81,104.46,11.81,0,340.84
2023-02-01,4,South,Sports,191.48,104.12,11.61,1,308.76
2023-02-01,5,West,Home,225.0,103.5,11.38,0,452.32
2023-02-01,6,West,Grocery,187.78,105.26,11.41,0,399.59
2023-02-01,7,West,Grocery,268.31,102.0,12.0,0,512.29
2023-02-01,8,North,Sports,331.31,102.55,12.24,0,483.62
2023-02-01,9,North,Apparel,206.2,103.51,11.7,0,314.06
2023-02-01,10,South,Grocery,237.18,103.99,11.45,0,436.04
2023-02-01,11,North,Apparel,43.63,104.3,11.67,1,347.22
2023-02-01,12,South,Apparel,249.18,105.4,11.97,0,372.36
2023-02-02,1,North,Apparel,246.17,104.48,12.21,0,426.99
2023-02-02,2,North,Home,99.75,104.59,11.82,0,235.1
2023-02-02,3,West,Sports,130.78,104.18,11.26,0,307.27
2023-02-02,4,West,Grocery,218.27,104.36,11.82,1,492.1
2023-02-02,5,North,Apparel,155.56,103.77,11.65,0,337.93
2023-02-02,6,East,Grocery,431.4,105.08,12.09,0,543.59
2023-02-02,7,West,Electronics,337.18,103.98,11.89,0,561.91
2023-02-02,8,South,Grocery,303.3,103.08,12.38,0,466.69
2023-02-02,9,South,Home,298.28,107.37,11.75,0,463.63
2023-02-02,10,North,Sports,158.55,101.01,12.21,0,335.33
2023-02-02,11,South,Apparel,108.1,103.69,11.93,1,316.06
2023-02-02,12,East,Apparel,263.95,107.37,11.34,0,405.53
2023-02-03,1,North,Electronics,227.88,104.97,11.76,0,448.98
2023-02-03,2,South,Grocery,107.3,105.41,11.36,0,315.62
2023-02-03,3,East,Home,110.2,103.86,11.75,0,320.52
2023-02-03,4,North,Home,199.72,102.45,11.93,0,399.39
2023-02-03,5,East,Home,316.97,103.68,11.73,0,443.67
2023-02-03,6,East,Sports,264.89,105.45,11.7,1,424.8
2023-02-03,7,West,Home,83.56,101.53,12.05,0,315.98
2023-02-03,8,North,Sports,85.0,102.51,11.97,0,236.27
2023-02-03,9,North,Home,226.84,103.72,11.96,1,416.6
2023-02-03,10,East,Sports,542.97,106.76,11.78,0,658.38
2023-02-03,11,East,Electronics,190.87,104.05,12.03,0,398.48
2023-02-03,12,North,Apparel,13.82,102.45,11.86,0,202.95
2023-02-04,1,North,Grocery,301.74,100.42,11.81,0,477.58
2023-02-04,2,North,Apparel,383.32,105.35,12.11,0,510.59
2023-02-04,3,West,Sports,399.82,103.57,11.73,0,564.83
2023-02-04,4,West,Grocery,41.18,102.7,11.42,0,330.63
2023-02-04,5,South,Sports,360.26,101.74,11.55,0,509.16
2023-02-04,6,West,Home,322.04,105.51,11.67,0,536.15
2023-02-04,7,North,Home,82.99,104.46,11.51,0,305.72
2023-02-04,8,East,Home,176.47,105.31,11.3,0,383.95
2023-02-04,9,East,Grocery,357.44,107.32,12.68,0,550.37
